""	"x"
"520"	"A"
"521"	"F"
"522"	"D"
"523"	"F"
"524"	"C"
"525"	"D"
"526"	"D"
"527"	"F"
"528"	"E"
"529"	"A"
"530"	"D"
"531"	"F"
"532"	"F"
"533"	"F"
"534"	"F"
"535"	"F"
"536"	"F"
"537"	"A"
"538"	"F"
"539"	"F"
"540"	"A"
"541"	"B"
"542"	"E"
"543"	"D"
"544"	"A"
"545"	"F"
"546"	"A"
"547"	"B"
"548"	"A"
"549"	"F"
"550"	"F"
"551"	"E"
"552"	"B"
"553"	"F"
"554"	"F"
"555"	"C"
"556"	"F"
"557"	"A"
"558"	"B"
"559"	"F"
"560"	"A"
"561"	"A"
"562"	"A"
"563"	"F"
"564"	"E"
"565"	"F"
"566"	"A"
"567"	"F"
"568"	"A"
"569"	"F"
"570"	"E"
"571"	"B"
"572"	"A"
"573"	"C"
"574"	"B"
"575"	"A"
"576"	"C"
"577"	"C"
"578"	"C"
"579"	"C"
"580"	"A"
"581"	"F"
"582"	"E"
"583"	"F"
"584"	"C"
"585"	"D"
"586"	"F"
"587"	"B"
"588"	"E"
"589"	"F"
"590"	"E"
"591"	"D"
"592"	"C"
"593"	"A"
"594"	"D"
"595"	"B"
"596"	"F"
"597"	"B"
"598"	"F"
"599"	"C"
"600"	"F"
"601"	"F"
"602"	"D"
"603"	"A"
"604"	"B"
"605"	"D"
"606"	"A"
"607"	"A"
"608"	"F"
"609"	"A"
"610"	"F"
"611"	"A"
"612"	"D"
"613"	"D"
"614"	"F"
"615"	"C"
"616"	"A"
"617"	"C"
"618"	"A"
"619"	"E"
"620"	"F"
"621"	"A"
"622"	"A"
"623"	"F"
"624"	"E"
"625"	"B"
"626"	"F"
"627"	"F"
"628"	"F"
"629"	"C"
"630"	"D"
"631"	"A"
"632"	"F"
"633"	"F"
"634"	"C"
"635"	"A"
"636"	"D"
"637"	"F"
"638"	"F"
"639"	"A"
"640"	"D"
"641"	"E"
"642"	"A"
"643"	"F"
"644"	"A"
"645"	"F"
"646"	"B"
"647"	"D"
"648"	"D"
"649"	"F"
"650"	"F"
"651"	"F"
"652"	"D"
"653"	"E"
"654"	"F"
"655"	"B"
"656"	"F"
"657"	"B"
"658"	"E"
"659"	"F"
"660"	"A"
"661"	"B"
"662"	"E"
"663"	"D"
"664"	"A"
"665"	"F"
"666"	"E"
"667"	"D"
"668"	"A"
"669"	"F"
"670"	"B"
"671"	"B"
"672"	"B"
"673"	"F"
"674"	"F"
"675"	"D"
"676"	"F"
"677"	"E"
"678"	"D"
"679"	"B"
"680"	"F"
"681"	"F"
"682"	"D"
"683"	"B"
"684"	"F"
"685"	"E"
"686"	"E"
"687"	"B"
"688"	"A"
"689"	"B"
"690"	"D"
"691"	"C"
"692"	"C"
"693"	"D"
"694"	"C"
"695"	"B"
"696"	"B"
"697"	"D"
"698"	"C"
"699"	"E"
"700"	"F"
"701"	"B"
"702"	"A"
"703"	"A"
"704"	"D"
"705"	"E"
"706"	"A"
"707"	"C"
"708"	"E"
"709"	"C"
"710"	"A"
"711"	"F"
"712"	"F"
"713"	"A"
"714"	"A"
"715"	"F"
"716"	"A"
"717"	"B"
"718"	"B"
"719"	"F"
"720"	"A"
"721"	"A"
"722"	"B"
"723"	"B"
"724"	"E"
"725"	"F"
"726"	"A"
"727"	"A"
"728"	"F"
"729"	"B"
"730"	"A"
"731"	"C"
"732"	"A"
"733"	"A"
"734"	"E"
"735"	"E"
"736"	"E"
"737"	"F"
"738"	"C"
"739"	"A"
"740"	"A"
"741"	"F"
"742"	"E"
"743"	"F"
"744"	"B"
"745"	"F"
"746"	"A"
"747"	"C"
"748"	"F"
"749"	"F"
"750"	"A"
"751"	"F"
"752"	"A"
"753"	"D"
"754"	"F"
"755"	"B"
"756"	"A"
"757"	"A"
"758"	"A"
"759"	"E"
"760"	"F"
"761"	"B"
"762"	"E"
"763"	"F"
"764"	"B"
"765"	"E"
"766"	"B"
"767"	"B"
"768"	"A"
"769"	"C"
"770"	"F"
"771"	"F"
"772"	"B"
"773"	"A"
"774"	"D"
"775"	"A"
"776"	"A"
"777"	"F"
"778"	"A"
"779"	"F"
"780"	"E"
"781"	"E"
"782"	"A"
"783"	"F"
"784"	"C"
"785"	"A"
"786"	"B"
"787"	"B"
"788"	"E"
"789"	"B"
"790"	"D"
"791"	"B"
"792"	"A"
"793"	"F"
"794"	"F"
"795"	"A"
"796"	"C"
"797"	"C"
"798"	"B"
"799"	"B"
"800"	"A"
"801"	"B"
"802"	"A"
"803"	"E"
"804"	"A"
"805"	"B"
"806"	"B"
"807"	"F"
"808"	"B"
"809"	"E"
"810"	"E"
"811"	"D"
"812"	"F"
"813"	"B"
"814"	"A"
"815"	"E"
"816"	"B"
"817"	"B"
"818"	"A"
"819"	"C"
"820"	"B"
"821"	"D"
"822"	"B"
"823"	"F"
"824"	"B"
"825"	"D"
"826"	"F"
"827"	"E"
"828"	"F"
"829"	"B"
"830"	"E"
"831"	"E"
"832"	"F"
"833"	"B"
"834"	"B"
"835"	"C"
"836"	"D"
"837"	"D"
"838"	"D"
"839"	"D"
"840"	"B"
"841"	"F"
"842"	"F"
"843"	"B"
"844"	"F"
"845"	"B"
"846"	"D"
"847"	"A"
"848"	"B"
"849"	"E"
"850"	"B"
"851"	"A"
"852"	"B"
"853"	"B"
"854"	"A"
"855"	"A"
"856"	"A"
"857"	"B"
"858"	"C"
"859"	"E"
"860"	"F"
"861"	"E"
"862"	"D"
"863"	"E"
"864"	"F"
"865"	"F"
"866"	"A"
"867"	"B"
"868"	"F"
"869"	"C"
"870"	"B"
"871"	"A"
"872"	"C"
"873"	"F"
"874"	"F"
"875"	"B"
"876"	"D"
"877"	"F"
"878"	"F"
"879"	"C"
"880"	"A"
"881"	"A"
"882"	"F"
"883"	"C"
"884"	"A"
"885"	"C"
"886"	"D"
"887"	"D"
"888"	"A"
"889"	"C"
"890"	"E"
"891"	"B"
"892"	"B"
"893"	"B"
"894"	"B"
"895"	"A"
"896"	"E"
"897"	"D"
"898"	"F"
"899"	"F"
"900"	"C"
"901"	"F"
"902"	"B"
"903"	"F"
"904"	"B"
"905"	"A"
"906"	"F"
"907"	"F"
"908"	"B"
"909"	"B"
"910"	"F"
"911"	"B"
"912"	"D"
"913"	"C"
"914"	"F"
"915"	"F"
"916"	"A"
"917"	"A"
"918"	"E"
"919"	"F"
"920"	"C"
"921"	"C"
"922"	"B"
"923"	"F"
"924"	"C"
"925"	"F"
"926"	"F"
"927"	"B"
"928"	"C"
"929"	"D"
"930"	"A"
"931"	"F"
"932"	"F"
"933"	"F"
"934"	"A"
"935"	"A"
"936"	"C"
"937"	"D"
"938"	"E"
"939"	"E"
"940"	"F"
"941"	"D"
"942"	"C"
"943"	"D"
"944"	"E"
"945"	"F"
"946"	"A"
"947"	"F"
"948"	"A"
"949"	"A"
"950"	"B"
"951"	"B"
"952"	"F"
"953"	"C"
"954"	"A"
"955"	"A"
"956"	"B"
"957"	"F"
"958"	"A"
"959"	"F"
"960"	"B"
"961"	"D"
"962"	"D"
"963"	"A"
"964"	"D"
"965"	"A"
"966"	"C"
"967"	"F"
"968"	"F"
"969"	"F"
"970"	"B"
"971"	"F"
"972"	"B"
"973"	"B"
"974"	"F"
"975"	"B"
"976"	"D"
"977"	"F"
"978"	"F"
"979"	"B"
"980"	"C"
"981"	"E"
"982"	"E"
"983"	"B"
"984"	"F"
"985"	"A"
"986"	"D"
"987"	"A"
"988"	"E"
"989"	"B"
"990"	"A"
"991"	"F"
"992"	"E"
"993"	"D"
"994"	"F"
"995"	"B"
"996"	"E"
"997"	"B"
"998"	"F"
"999"	"E"
"1000"	"D"
