""	"x"
"862"	"B"
"863"	"F"
"864"	"C"
"865"	"F"
"866"	"B"
"867"	"B"
"868"	"F"
"869"	"B"
"870"	"B"
"871"	"B"
"872"	"F"
"873"	"F"
"874"	"A"
"875"	"C"
"876"	"F"
"877"	"B"
"878"	"C"
"879"	"F"
"880"	"B"
"881"	"B"
"882"	"B"
"883"	"C"
"884"	"C"
"885"	"F"
"886"	"B"
"887"	"B"
"888"	"C"
"889"	"B"
"890"	"F"
"891"	"F"
"892"	"F"
"893"	"F"
"894"	"B"
"895"	"C"
"896"	"B"
"897"	"C"
"898"	"B"
"899"	"C"
"900"	"B"
"901"	"F"
"902"	"B"
"903"	"F"
"904"	"C"
"905"	"B"
"906"	"B"
"907"	"E"
"908"	"F"
"909"	"B"
"910"	"A"
"911"	"C"
"912"	"F"
"913"	"C"
"914"	"A"
"915"	"C"
"916"	"B"
"917"	"F"
"918"	"C"
"919"	"F"
"920"	"E"
"921"	"B"
"922"	"F"
"923"	"B"
"924"	"B"
"925"	"C"
"926"	"F"
"927"	"B"
"928"	"C"
"929"	"B"
"930"	"F"
"931"	"C"
"932"	"B"
"933"	"B"
"934"	"B"
"935"	"F"
"936"	"A"
"937"	"F"
"938"	"F"
"939"	"F"
"940"	"F"
"941"	"A"
"942"	"F"
"943"	"B"
"944"	"F"
"945"	"F"
"946"	"B"
"947"	"A"
"948"	"A"
"949"	"E"
"950"	"C"
"951"	"C"
"952"	"C"
"953"	"C"
"954"	"B"
"955"	"D"
"956"	"F"
"957"	"F"
"958"	"B"
"959"	"C"
"960"	"F"
"961"	"C"
"962"	"A"
"963"	"D"
"964"	"B"
"965"	"F"
"966"	"C"
"967"	"C"
"968"	"B"
"969"	"A"
"970"	"F"
"971"	"F"
"972"	"F"
"973"	"F"
"974"	"A"
"975"	"A"
"976"	"C"
"977"	"C"
"978"	"C"
"979"	"F"
"980"	"F"
"981"	"F"
"982"	"C"
"983"	"F"
"984"	"C"
"985"	"B"
"986"	"F"
"987"	"A"
"988"	"F"
"989"	"F"
"990"	"F"
"991"	"B"
"992"	"F"
"993"	"C"
"994"	"B"
"995"	"F"
"996"	"E"
"997"	"F"
"998"	"F"
"999"	"B"
"1000"	"B"
